id,question,difficulty_level,question_type,topic,ground_truth_answer
1,What documents do I need to travel internationally?,easy,factual,safety,"For international travel, you typically need a valid passport. Some countries also require visas. EU citizens can travel within the European Union with just a government-issued ID card. Check that your passport is valid for at least six months beyond your expected departure date."
2,What is the Eiffel Tower's location?,easy,factual,attractions,"The Eiffel Tower is located in Paris, France. It is situated in the Champ de Mars, a large public greenspace in the 7th arrondissement of Paris."
3,What are the typical business hours in Spain?,easy,factual,culture,"Business hours in Spain typically follow the pattern of morning work from around 8-9 AM to 2 PM, followed by a long lunch break, and then afternoon work from about 4-5 PM to 8 PM. Many businesses close on Sundays."
4,What currency is used in Japan?,easy,factual,local_features,The currency used in Japan is the Japanese Yen (JPY). The currency symbol is ¥.
5,What is the best time to visit the Great Barrier Reef?,easy,recommendation,attractions,"The best time to visit the Great Barrier Reef is during the dry season (May to October), when water visibility is clearest and weather is most favorable. This period offers the best conditions for snorkeling and diving."
6,What are common greetings in Thai culture?,easy,factual,culture,Common greetings in Thai culture include 'Sawadee krap' (for men) or 'Sawadee ka' (for women) as a hello. Thais traditionally greet with a 'wai' - pressing hands together and bowing slightly.
7,What vaccinations are recommended for travel to Brazil?,easy,factual,safety,"Vaccinations recommended for travel to Brazil typically include Hepatitis A, Hepatitis B, Typhoid, and Yellow Fever (depending on the regions you visit). Consult with a travel health clinic at least 4-6 weeks before departure."
8,What is the capital city of Australia?,easy,factual,local_features,The capital city of Australia is Canberra. It is a planned city located between Sydney and Melbourne.
9,What are popular souvenirs from Italy?,easy,factual,culture,"Popular souvenirs from Italy include wine, olive oil, pasta, leather goods, ceramics, Murano glass, and artisanal crafts. Limoncello from the Amalfi Coast is also a popular souvenir."
10,What is the time zone difference between New York and London?,easy,factual,local_features,"The time zone difference between New York and London is 5 hours, with London being ahead. When it is noon in New York, it is 5 PM in London."
11,What language is spoken in Portugal?,easy,factual,culture,"Portuguese is the language spoken in Portugal. It is also the official language of several other countries including Brazil, Angola, and Mozambique."
12,What are the main attractions in Paris?,easy,factual,attractions,"Main attractions in Paris include the Eiffel Tower, the Louvre Museum, Notre-Dame Cathedral, the Arc de Triomphe, Sacré-Cœur, and the Musée d'Orsay."
13,What type of power outlet is used in the United Kingdom?,easy,factual,local_features,"The United Kingdom uses Type G power outlets (also called British plugs), which have three rectangular pins in a triangular pattern. Visitors may need an adapter for their devices."
14,What is tipping etiquette in the United States?,easy,factual,culture,"Tipping etiquette in the United States typically involves leaving 15-20% of the bill for good service at restaurants, bars, and for taxi drivers. Tipping is often expected rather than optional."
15,What are the visa requirements for US citizens traveling to Canada?,easy,factual,safety,"US citizens traveling to Canada typically do not need a visa. They can enter Canada with a valid passport for tourism purposes. For longer stays or work, additional documentation may be required."
16,What is the climate like in Iceland?,easy,factual,local_features,"Iceland has a cold, subarctic climate with temperatures ranging from -10°C to 0°C in winter and 0°C to 15°C in summer. It experiences extreme daylight variations with long summer days and long winter nights."
17,What are famous landmarks in Egypt?,easy,factual,attractions,"Famous landmarks in Egypt include the Great Pyramids of Giza, the Sphinx, the Karnak Temple, the Luxor Temple, Abu Simbel, and the Egyptian Museum in Cairo."
18,What should I wear when visiting temples in Southeast Asia?,easy,procedural,culture,"When visiting temples in Southeast Asia, it is respectful to wear long pants or skirts and shirts that cover your shoulders. Remove your shoes before entering sacred areas. Avoid pointing at Buddha images or monks."
19,What is the local cuisine in Mexico known for?,easy,factual,culture,"Mexican cuisine is known for its use of chili peppers, corn, beans, and lime. It features dishes like tacos, enchiladas, mole, and tamales. UNESCO has recognized Mexican cuisine as a cultural heritage."
20,What are the operating hours of the Louvre Museum?,easy,factual,attractions,"The Louvre Museum in Paris is open from 9 AM to 6 PM on most days, with extended hours until 9:45 PM on Wednesdays and Fridays. It is closed on Tuesdays and some public holidays."
21,What is the official language of Morocco?,easy,factual,culture,"The official language of Morocco is Arabic (Modern Standard Arabic). French is widely spoken as a second language, and Berber/Tamazight is spoken in some regions."
22,What transportation options are available from Tokyo airport to the city center?,easy,factual,local_features,"Transportation options from Tokyo airport to the city center include the Narita Express train (about 60 minutes), Keisei Express train (faster and cheaper), airport shuttles, shared shuttles, and rental cars."
23,What are the main beaches in Bali?,easy,factual,attractions,"Main beaches in Bali include Kuta Beach, Seminyak Beach, Sanur Beach, Uluwatu Beach, Nusa Dua Beach, and Padang Padang Beach. Each offers different characteristics and atmospheres."
24,What is the altitude of Machu Picchu?,easy,factual,local_features,"Machu Picchu is located at an altitude of approximately 2,430 meters (7,970 feet) above sea level on the eastern slopes of the Peruvian Andes."
25,What festivals are celebrated in India?,easy,factual,culture,"Major festivals celebrated in India include Diwali (Festival of Lights), Holi (Festival of Colors), Navratri, Durga Puja, Eid, Christmas, and Onam."
26,What wildlife can be seen on an African safari?,easy,factual,attractions,"Wildlife that can be seen on an African safari includes lions, elephants, giraffes, zebras, wildebeest, rhinoceros, hippopotamus, leopards, cheetahs, and various antelope species."
27,What is the drinking age in Germany?,easy,factual,culture,"The legal drinking age in Germany is 16 for beer and wine, and 18 for spirits. This is lower than in many other countries."
28,What are popular hiking trails in New Zealand?,easy,factual,attractions,"Popular hiking trails in New Zealand include the Milford Track, Routeburn Track, Kepler Track, Tongariro Alpine Crossing, and various walks in the national parks."
29,How can I prepare for altitude sickness when visiting high-elevation destinations like Peru or Tibet?,medium,procedural,safety,"To prepare for altitude sickness when visiting high-elevation destinations: arrive a few days early to acclimatize, stay hydrated, move slowly, avoid alcohol and heavy meals, consider altitude sickness medication (consult a doctor), and descend if symptoms worsen."
30,What are the cultural differences in negotiating prices at markets between Middle Eastern and Southeast Asian countries?,medium,comparative,culture,"Market negotiation styles differ between regions: Middle Eastern markets emphasize relationship-building and respectful haggling as part of the culture, while Southeast Asian markets similarly value negotiation but with a more relaxed approach. In both, the starting price is usually inflated."
31,What are the best strategies for avoiding tourist scams in major European cities?,medium,procedural,safety,"Strategies for avoiding tourist scams in European cities include: staying aware of surroundings, not carrying large amounts of cash, using ATMs in safe locations, avoiding unofficial taxis, verifying prices before services, and being cautious with strangers offering unsolicited assistance."
32,How does the monsoon season affect travel plans in South Asia?,medium,factual,local_features,"The monsoon season affects travel plans in South Asia by bringing heavy rainfall (June to September), creating flooding, landslides, and making some roads impassable. Visibility for trekking is reduced, but fewer tourists visit, prices are lower, and landscapes are lush."
33,What are the advantages and disadvantages of staying in hostels versus hotels in Europe?,medium,comparative,local_features,"Hostels in Europe are generally cheaper and offer social opportunities and backpacker atmosphere, while hotels provide more privacy, comfort, and services. Hostels suit budget-conscious travelers, while hotels are better for those prioritizing comfort."
34,How should I plan a multi-country itinerary through the Balkans?,medium,procedural,local_features,"To plan a multi-country Balkans itinerary: choose your cities, check visa requirements (many are visa-free for EU/US citizens), use buses or trains to connect countries, allocate time for travel between borders, consider local transportation cards, and research regional holidays."
35,What are the specific customs regulations for bringing food products into Australia?,medium,factual,safety,"Australia has strict customs regulations: fresh food, dairy, eggs, meat, and unprocessed plant products are prohibited. Some packaged goods are allowed. Declare all restricted items. Penalties for violations are severe."
36,How do I navigate public transportation systems in major Japanese cities?,medium,procedural,local_features,"Major Japanese cities have excellent public transportation systems: Tokyo has the JR train and metro, Osaka has the JR and Kintetsu systems, and Kyoto has the metro and local buses. IC cards like Suica/Pasmo work across cities."
